Index,Time(sec)
1,8.239
2,12.539
3,15.773
4,18.773
5,22.306
6,25.106
7,27.906
8,30.406
9,35.406
10,37.706
11,40.706
12,43.473
13,46.140
14,48.772
15,52.239
16,54.839
17,57.172
18,59.406
19,61.805
20,64.172
21,66.739
22,69.839
23,72.039
24,74.557
25,76.923
26,79.490
27,100.023
28,104.423
29,106.923
30,110.190
31,114.156
32,116.723
33,119.590
34,122.023
35,123.990
36,126.223
37,128.157
38,130.190
39,136.323
40,138.990
41,142.056
42,144.756
43,146.623
44,153.589
45,156.256
46,158.523
47,160.556
48,162.556
49,164.723
50,167.056
51,170.189
52,172.056
53,184.056
54,274.355
55,334.154
56,338.821
57,340.954
58,343.121
59,344.988
60,346.921
61,350.954
62,353.021
63,356.087
64,358.287
65,360.854
66,366.621
67,369.387
68,371.454
69,373.787
70,375.521
71,377.621
72,379.621
73,384.054
74,387.054
75,388.587
76,394.254
77,395.888
78,397.921
79,399.087
80,401.487
81,411.187
82,414.335
83,417.468
84,419.968
85,424.568
86,426.902
87,428.869
88,430.368
89,434.035
90,436.301
91,437.468
92,439.635
93,441.401
94,443.668
95,446.035
96,448.702
97,451.035
98,453.101
99,455.101
100,456.768
101,458.701
102,460.601
103,462.235
104,464.435
105,467.335
106,470.068
