Index,Time(sec),,
1,6.338,,
2,8.304,1.966,
3,10.072,1.768,
4,12.538,2.466,
5,14.371,1.833,
6,15.771,1.4,
7,17.404,1.633,
8,19.038,1.634,
9,20.671,1.633,
10,22.138,1.467,
11,24.004,1.866,
12,27.204,3.2,
13,28.904,1.7,
14,30.771,1.867,
15,33.171,2.4,
16,34.937,1.766,
17,36.304,1.367,
18,37.904,1.6,
19,39.804,1.9,
20,41.237,1.433,
21,42.638,1.401,
22,45.171,2.533,
23,46.771,1.6,
24,48.804,2.033,
25,50.638,1.834,
26,52.604,1.966,46.266
27,63.771,11.167,
28,66.871,3.1,
29,93.37,26.499,
30,95.171,1.801,
31,98.07,2.899,
32,100.204,2.134,
33,102.17,1.966,
34,105.004,2.834,
35,109.17,4.166,
36,112.604,3.434,
37,115.437,2.833,
38,119.37,3.933,
39,121.537,2.167,
40,123.503,1.966,
41,126.67,3.167,
42,130.103,3.433,
43,132.803,2.7,
44,134.603,1.8,
45,146.336,11.733,
46,150.236,3.9,
47,151.903,1.667,
48,154.039,2.136,
49,156.17,2.131,
50,158.203,2.033,
51,163.803,5.6,
52,165.203,1.4,98.332
53,180.069,14.866,
54,423.334,243.265,
55,693.865,270.531,513.796
56,706.798,12.933,
57,710.313,3.515,
58,712.513,2.2,
59,719.313,6.8,
60,720.846,1.533,
61,722.58,1.734,
62,731.479,8.899,
63,732.713,1.234,
64,736.213,3.5,
65,740.346,4.133,
66,744.346,4,
67,749.346,5,
68,752.413,3.067,
69,754.846,2.433,
70,756.946,2.1,
71,760.979,4.033,
72,763.046,2.067,
73,769.446,6.4,
74,771.746,2.3,
75,774.446,2.7,
76,780.713,6.267,
77,782.646,1.933,
78,787.912,5.266,
79,790.946,3.034,
80,794.812,3.866,100.947
81,795.712,0.9,
82,799.079,3.367,
83,803.879,4.8,
84,806.079,2.2,
85,811.379,5.3,
86,812.812,1.433,
87,815.212,2.4,
88,817.279,2.067,
89,819.312,2.033,
90,821.645,2.333,
91,823.412,1.767,
92,825.513,2.101,
93,827.346,1.833,
94,829.412,2.066,
95,831.312,1.9,
96,833.312,2,
97,835.278,1.966,
98,839.878,4.6,
99,842.045,2.167,
100,843.912,1.867,
101,845.812,1.9,
102,848.078,2.266,
103,849.978,1.9,
104,851.878,1.9,
105,853.978,2.1,
106,856.512,2.534,60.8
