Index,Time(sec),,
1,3.904,,
2,4.828,0.924,
3,5.708,0.88,
4,6.497,0.789,
5,7.551,1.054,
6,8.576,1.025,
7,9.375,0.799,
8,10.412,1.037,
9,11.187,0.775,
10,12.037,0.85,
11,12.768,0.731,
12,13.711,0.943,
13,14.413,0.702,
14,15.293,0.88,
15,16.232,0.939,
16,17.087,0.855,
17,17.895,0.808,
18,18.814,0.919,
19,19.551,0.737,
20,20.575,1.024,
21,21.359,0.784,
22,22.528,1.169,
23,23.211,0.683,
24,24.59,1.379,
25,25.473,0.883,
26,26.52,1.047,22.616
27,32.731,6.211,
28,33.532,0.801,
29,35.161,1.629,
30,36.035,0.874,
31,37.26,1.225,
32,38.564,1.304,
33,39.411,0.847,
34,40.437,1.026,
35,41.331,0.894,
36,42.65,1.319,
37,43.635,0.985,
38,44.632,0.997,
39,45.919,1.287,
40,46.865,0.946,
41,47.915,1.05,
42,49.418,1.503,
43,50.757,1.339,
44,52.308,1.551,
45,53.705,1.397,
46,56,2.295,
47,56.854,0.854,
48,58.873,2.019,
49,59.841,0.968,
50,61.372,1.531,
51,62.663,1.291,
52,63.759,1.096,31.028
53,69.221,5.462,
54,151.245,82.024,
55,216.408,65.163,147.187
56,218.19,1.782,
57,218.999,0.809,
58,219.725,0.726,
59,220.587,0.862,
60,221.295,0.708,
61,222.128,0.833,
62,222.926,0.798,
63,224.197,1.271,
64,225.223,1.026,
65,226.001,0.778,
66,227.445,1.444,
67,228.445,1,
68,229.35,0.905,
69,230.445,1.095,
70,232.504,2.059,
71,233.234,0.73,
72,233.979,0.745,
73,238.028,4.049,
74,238.96,0.932,
75,240.777,1.817,
76,244.093,3.316,
77,245.52,1.427,
78,246.826,1.306,
79,248.702,1.876,
80,249.98,1.278,33.572
81,255.473,5.493,
82,256.322,0.849,
83,257.161,0.839,
84,258.303,1.142,
85,259.361,1.058,
86,260.429,1.068,
87,261.309,0.88,
88,262.175,0.866,
89,263.349,1.174,
90,265.839,2.49,
91,267.132,1.293,
92,268.295,1.163,
93,270.174,1.879,
94,270.952,0.778,
95,272.381,1.429,
96,273.349,0.968,
97,274.435,1.086,
98,275.554,1.119,
99,276.453,0.899,
100,277.82,1.367,
101,278.913,1.093,
102,279.724,0.811,
103,281.224,1.5,
104,282.017,0.793,
105,283.447,1.43,
106,284.571,1.124,29.098
